/home/jayden/NNTrainer_Playground/t5gemma2/nntrainer/Applications/CausalLM/res/qwen3/qwen3-0.6b
/home/jayden/NNTrainer_Playground/t5gemma2/nntrainer/Applications/CausalLM/res/qwen3/qwen3-0.6b/qwen3_0.6b_fp32_x86.bin
Model Weight Bytes Breakdown:
=========================
embedding0 | embedding0:Embedding | 622329856 bytes
                         layer9_ffn_down     fully_connected       1:1:1024:1024                       layer9_ffn_swiglu
--------------------------------------------------------------------------------
                   layer9_decoder_output            addition       1:1:1024:1024      layer9_decoder_add/generated_out_0
                                                                                                         layer9_ffn_down
--------------------------------------------------------------------------------
   layer9_decoder_output/generated_out_0            multiout       1:1:1024:1024                   layer9_decoder_output
--------------------------------------------------------------------------------
                  layer10_attention_norm            rms_norm       1:1:1024:1024   layer9_decoder_output/generated_out_0
--------------------------------------------------------------------------------
  layer10_attention_norm/generated_out_0            multiout       1:1:1024:1024                  layer10_attention_norm
--------------------------------------------------------------------------------
                              layer10_wq     fully_connected       1:1:1024:2048  layer10_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                          layer10_q_norm   reshaped_rms_norm       1:1:1024:2048                              layer10_wq
--------------------------------------------------------------------------------
                              layer10_wk     fully_connected       1:1:1024:1024  layer10_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                          layer10_k_norm   reshaped_rms_norm       1:1:1024:1024                              layer10_wk
--------------------------------------------------------------------------------
                              layer10_wv     fully_connected       1:1:1024:1024  layer10_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                       layer10_attention            mha_core       1:1:1024:2048                          layer10_q_norm
                                                                                                          layer10_k_norm
                                                                                                              layer10_wv
--------------------------------------------------------------------------------
                   layer10_attention_out     fully_connected       1:1:1024:1024                       layer10_attention
--------------------------------------------------------------------------------
                     layer10_decoder_add            addition       1:1:1024:1024   layer9_decoder_output/generated_out_0
                                                                                                   layer10_attention_out
--------------------------------------------------------------------------------
     layer10_decoder_add/generated_out_0            multiout       1:1:1024:1024                     layer10_decoder_add
--------------------------------------------------------------------------------
                        layer10_ffn_norm            rms_norm       1:1:1024:1024     layer10_decoder_add/generated_out_0
--------------------------------------------------------------------------------
        layer10_ffn_norm/generated_out_0            multiout       1:1:1024:1024                        layer10_ffn_norm
--------------------------------------------------------------------------------
                        layer10_ffn_gate     fully_connected       1:1:1024:3072        layer10_ffn_norm/generated_out_0
--------------------------------------------------------------------------------
                          layer10_ffn_up     fully_connected       1:1:1024:3072        layer10_ffn_norm/generated_out_0
--------------------------------------------------------------------------------
                      layer10_ffn_swiglu              swiglu       1:1:1024:3072                          layer10_ffn_up
                                                                                                        layer10_ffn_gate
--------------------------------------------------------------------------------
                        layer10_ffn_down     fully_connected       1:1:1024:1024                      layer10_ffn_swiglu
--------------------------------------------------------------------------------
                  layer10_decoder_output            addition       1:1:1024:1024     layer10_decoder_add/generated_out_0
                                                                                                        layer10_ffn_down
--------------------------------------------------------------------------------
  layer10_decoder_output/generated_out_0            multiout       1:1:1024:1024                  layer10_decoder_output
--------------------------------------------------------------------------------
                  layer11_attention_norm            rms_norm       1:1:1024:1024  layer10_decoder_output/generated_out_0
--------------------------------------------------------------------------------
  layer11_attention_norm/generated_out_0            multiout       1:1:1024:1024                  layer11_attention_norm
--------------------------------------------------------------------------------
                              layer11_wq     fully_connected       1:1:1024:2048  layer11_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                          layer11_q_norm   reshaped_rms_norm       1:1:1024:2048                              layer11_wq
--------------------------------------------------------------------------------
                              layer11_wk     fully_connected       1:1:1024:1024  layer11_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                          layer11_k_norm   reshaped_rms_norm       1:1:1024:1024                              layer11_wk
--------------------------------------------------------------------------------
                              layer11_wv     fully_connected       1:1:1024:1024  layer11_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                       layer11_attention            mha_core       1:1:1024:2048                          layer11_q_norm
                                                                                                          layer11_k_norm
                                                                                                              layer11_wv
--------------------------------------------------------------------------------
                   layer11_attention_out     fully_connected       1:1:1024:1024                       layer11_attention
--------------------------------------------------------------------------------
                     layer11_decoder_add            addition       1:1:1024:1024  layer10_decoder_output/generated_out_0
                                                                                                   layer11_attention_out
--------------------------------------------------------------------------------
     layer11_decoder_add/generated_out_0            multiout       1:1:1024:1024                     layer11_decoder_add
--------------------------------------------------------------------------------
                        layer11_ffn_norm            rms_norm       1:1:1024:1024     layer11_decoder_add/generated_out_0
--------------------------------------------------------------------------------
        layer11_ffn_norm/generated_out_0            multiout       1:1:1024:1024                        layer11_ffn_norm
--------------------------------------------------------------------------------
                        layer11_ffn_gate     fully_connected       1:1:1024:3072        layer11_ffn_norm/generated_out_0
--------------------------------------------------------------------------------
                          layer11_ffn_up     fully_connected       1:1:1024:3072        layer11_ffn_norm/generated_out_0
--------------------------------------------------------------------------------
                      layer11_ffn_swiglu              swiglu       1:1:1024:3072                          layer11_ffn_up
                                                                                                        layer11_ffn_gate
--------------------------------------------------------------------------------
                        layer11_ffn_down     fully_connected       1:1:1024:1024                      layer11_ffn_swiglu
--------------------------------------------------------------------------------
                  layer11_decoder_output            addition       1:1:1024:1024     layer11_decoder_add/generated_out_0
                                                                                                        layer11_ffn_down
--------------------------------------------------------------------------------
  layer11_decoder_output/generated_out_0            multiout       1:1:1024:1024                  layer11_decoder_output
--------------------------------------------------------------------------------
                  layer12_attention_norm            rms_norm       1:1:1024:1024  layer11_decoder_output/generated_out_0
--------------------------------------------------------------------------------
  layer12_attention_norm/generated_out_0            multiout       1:1:1024:1024                  layer12_attention_norm
--------------------------------------------------------------------------------
                              layer12_wq     fully_connected       1:1:1024:2048  layer12_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                          layer12_q_norm   reshaped_rms_norm       1:1:1024:2048                              layer12_wq
--------------------------------------------------------------------------------
                              layer12_wk     fully_connected       1:1:1024:1024  layer12_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                          layer12_k_norm   reshaped_rms_norm       1:1:1024:1024                              layer12_wk
--------------------------------------------------------------------------------
                              layer12_wv     fully_connected       1:1:1024:1024  layer12_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                       layer12_attention            mha_core       1:1:1024:2048                          layer12_q_norm
                                                                                                          layer12_k_norm
                                                                                                              layer12_wv
--------------------------------------------------------------------------------
                   layer12_attention_out     fully_connected       1:1:1024:1024                       layer12_attention
--------------------------------------------------------------------------------
                     layer12_decoder_add            addition       1:1:1024:1024  layer11_decoder_output/generated_out_0
                                                                                                   layer12_attention_out
--------------------------------------------------------------------------------
     layer12_decoder_add/generated_out_0            multiout       1:1:1024:1024                     layer12_decoder_add
--------------------------------------------------------------------------------
                        layer12_ffn_norm            rms_norm       1:1:1024:1024     layer12_decoder_add/generated_out_0
--------------------------------------------------------------------------------
        layer12_ffn_norm/generated_out_0            multiout       1:1:1024:1024                        layer12_ffn_norm
--------------------------------------------------------------------------------
                        layer12_ffn_gate     fully_connected       1:1:1024:3072        layer12_ffn_norm/generated_out_0
--------------------------------------------------------------------------------
                          layer12_ffn_up     fully_connected       1:1:1024:3072        layer12_ffn_norm/generated_out_0
--------------------------------------------------------------------------------
                      layer12_ffn_swiglu              swiglu       1:1:1024:3072                          layer12_ffn_up
                                                                                                        layer12_ffn_gate
--------------------------------------------------------------------------------
                        layer12_ffn_down     fully_connected       1:1:1024:1024                      layer12_ffn_swiglu
--------------------------------------------------------------------------------
                  layer12_decoder_output            addition       1:1:1024:1024     layer12_decoder_add/generated_out_0
                                                                                                        layer12_ffn_down
--------------------------------------------------------------------------------
  layer12_decoder_output/generated_out_0            multiout       1:1:1024:1024                  layer12_decoder_output
--------------------------------------------------------------------------------
                  layer13_attention_norm            rms_norm       1:1:1024:1024  layer12_decoder_output/generated_out_0
--------------------------------------------------------------------------------
  layer13_attention_norm/generated_out_0            multiout       1:1:1024:1024                  layer13_attention_norm
--------------------------------------------------------------------------------
                              layer13_wq     fully_connected       1:1:1024:2048  layer13_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                          layer13_q_norm   reshaped_rms_norm       1:1:1024:2048                              layer13_wq
--------------------------------------------------------------------------------
                              layer13_wk     fully_connected       1:1:1024:1024  layer13_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                          layer13_k_norm   reshaped_rms_norm       1:1:1024:1024                              layer13_wk
--------------------------------------------------------------------------------
                              layer13_wv     fully_connected       1:1:1024:1024  layer13_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                       layer13_attention            mha_core       1:1:1024:2048                          layer13_q_norm
                                                                                                          layer13_k_norm
                                                                                                              layer13_wv
--------------------------------------------------------------------------------
                   layer13_attention_out     fully_connected       1:1:1024:1024                       layer13_attention
--------------------------------------------------------------------------------
                     layer13_decoder_add            addition       1:1:1024:1024  layer12_decoder_output/generated_out_0
                                                                                                   layer13_attention_out
--------------------------------------------------------------------------------
     layer13_decoder_add/generated_out_0            multiout       1:1:1024:1024                     layer13_decoder_add
--------------------------------------------------------------------------------
                        layer13_ffn_norm            rms_norm       1:1:1024:1024     layer13_decoder_add/generated_out_0
--------------------------------------------------------------------------------
        layer13_ffn_norm/generated_out_0            multiout       1:1:1024:1024                        layer13_ffn_norm
--------------------------------------------------------------------------------
                        layer13_ffn_gate     fully_connected       1:1:1024:3072        layer13_ffn_norm/generated_out_0
--------------------------------------------------------------------------------
                          layer13_ffn_up     fully_connected       1:1:1024:3072        layer13_ffn_norm/generated_out_0
--------------------------------------------------------------------------------
                      layer13_ffn_swiglu              swiglu       1:1:1024:3072                          layer13_ffn_up
                                                                                                        layer13_ffn_gate
--------------------------------------------------------------------------------
                        layer13_ffn_down     fully_connected       1:1:1024:1024                      layer13_ffn_swiglu
--------------------------------------------------------------------------------
                  layer13_decoder_output            addition       1:1:1024:1024     layer13_decoder_add/generated_out_0
                                                                                                        layer13_ffn_down
--------------------------------------------------------------------------------
  layer13_decoder_output/generated_out_0            multiout       1:1:1024:1024                  layer13_decoder_output
--------------------------------------------------------------------------------
                  layer14_attention_norm            rms_norm       1:1:1024:1024  layer13_decoder_output/generated_out_0
--------------------------------------------------------------------------------
  layer14_attention_norm/generated_out_0            multiout       1:1:1024:1024                  layer14_attention_norm
--------------------------------------------------------------------------------
                              layer14_wq     fully_connected       1:1:1024:2048  layer14_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                          layer14_q_norm   reshaped_rms_norm       1:1:1024:2048                              layer14_wq
--------------------------------------------------------------------------------
                              layer14_wk     fully_connected       1:1:1024:1024  layer14_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                          layer14_k_norm   reshaped_rms_norm       1:1:1024:1024                              layer14_wk
--------------------------------------------------------------------------------
                              layer14_wv     fully_connected       1:1:1024:1024  layer14_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                       layer14_attention            mha_core       1:1:1024:2048                          layer14_q_norm
                                                                                                          layer14_k_norm
                                                                                                              layer14_wv
--------------------------------------------------------------------------------
                   layer14_attention_out     fully_connected       1:1:1024:1024                       layer14_attention
--------------------------------------------------------------------------------
                     layer14_decoder_add            addition       1:1:1024:1024  layer13_decoder_output/generated_out_0
                                                                                                   layer14_attention_out
--------------------------------------------------------------------------------
     layer14_decoder_add/generated_out_0            multiout       1:1:1024:1024                     layer14_decoder_add
--------------------------------------------------------------------------------
                        layer14_ffn_norm            rms_norm       1:1:1024:1024     layer14_decoder_add/generated_out_0
--------------------------------------------------------------------------------
        layer14_ffn_norm/generated_out_0            multiout       1:1:1024:1024                        layer14_ffn_norm
--------------------------------------------------------------------------------
                        layer14_ffn_gate     fully_connected       1:1:1024:3072        layer14_ffn_norm/generated_out_0
--------------------------------------------------------------------------------
                          layer14_ffn_up     fully_connected       1:1:1024:3072        layer14_ffn_norm/generated_out_0
--------------------------------------------------------------------------------
                      layer14_ffn_swiglu              swiglu       1:1:1024:3072                          layer14_ffn_up
                                                                                                        layer14_ffn_gate
--------------------------------------------------------------------------------
                        layer14_ffn_down     fully_connected       1:1:1024:1024                      layer14_ffn_swiglu
--------------------------------------------------------------------------------
                  layer14_decoder_output            addition       1:1:1024:1024     layer14_decoder_add/generated_out_0
                                                                                                        layer14_ffn_down
--------------------------------------------------------------------------------
  layer14_decoder_output/generated_out_0            multiout       1:1:1024:1024                  layer14_decoder_output
--------------------------------------------------------------------------------
                  layer15_attention_norm            rms_norm       1:1:1024:1024  layer14_decoder_output/generated_out_0
--------------------------------------------------------------------------------
  layer15_attention_norm/generated_out_0            multiout       1:1:1024:1024                  layer15_attention_norm
--------------------------------------------------------------------------------
                              layer15_wq     fully_connected       1:1:1024:2048  layer15_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                          layer15_q_norm   reshaped_rms_norm       1:1:1024:2048                              layer15_wq
--------------------------------------------------------------------------------
                              layer15_wk     fully_connected       1:1:1024:1024  layer15_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                          layer15_k_norm   reshaped_rms_norm       1:1:1024:1024                              layer15_wk
--------------------------------------------------------------------------------
                              layer15_wv     fully_connected       1:1:1024:1024  layer15_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                       layer15_attention            mha_core       1:1:1024:2048                          layer15_q_norm
                                                                                                          layer15_k_norm
                                                                                                              layer15_wv
--------------------------------------------------------------------------------
                   layer15_attention_out     fully_connected       1:1:1024:1024                       layer15_attention
--------------------------------------------------------------------------------
                     layer15_decoder_add            addition       1:1:1024:1024  layer14_decoder_output/generated_out_0
                                                                                                   layer15_attention_out
--------------------------------------------------------------------------------
     layer15_decoder_add/generated_out_0            multiout       1:1:1024:1024                     layer15_decoder_add
--------------------------------------------------------------------------------
                        layer15_ffn_norm            rms_norm       1:1:1024:1024     layer15_decoder_add/generated_out_0
--------------------------------------------------------------------------------
        layer15_ffn_norm/generated_out_0            multiout       1:1:1024:1024                        layer15_ffn_norm
--------------------------------------------------------------------------------
                        layer15_ffn_gate     fully_connected       1:1:1024:3072        layer15_ffn_norm/generated_out_0
--------------------------------------------------------------------------------
                          layer15_ffn_up     fully_connected       1:1:1024:3072        layer15_ffn_norm/generated_out_0
--------------------------------------------------------------------------------
                      layer15_ffn_swiglu              swiglu       1:1:1024:3072                          layer15_ffn_up
                                                                                                        layer15_ffn_gate
--------------------------------------------------------------------------------
                        layer15_ffn_down     fully_connected       1:1:1024:1024                      layer15_ffn_swiglu
--------------------------------------------------------------------------------
                  layer15_decoder_output            addition       1:1:1024:1024     layer15_decoder_add/generated_out_0
                                                                                                        layer15_ffn_down
--------------------------------------------------------------------------------
  layer15_decoder_output/generated_out_0            multiout       1:1:1024:1024                  layer15_decoder_output
--------------------------------------------------------------------------------
                  layer16_attention_norm            rms_norm       1:1:1024:1024  layer15_decoder_output/generated_out_0
--------------------------------------------------------------------------------
  layer16_attention_norm/generated_out_0            multiout       1:1:1024:1024                  layer16_attention_norm
--------------------------------------------------------------------------------
                              layer16_wq     fully_connected       1:1:1024:2048  layer16_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                          layer16_q_norm   reshaped_rms_norm       1:1:1024:2048                              layer16_wq
--------------------------------------------------------------------------------
                              layer16_wk     fully_connected       1:1:1024:1024  layer16_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                          layer16_k_norm   reshaped_rms_norm       1:1:1024:1024                              layer16_wk
--------------------------------------------------------------------------------
                              layer16_wv     fully_connected       1:1:1024:1024  layer16_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                       layer16_attention            mha_core       1:1:1024:2048                          layer16_q_norm
                                                                                                          layer16_k_norm
                                                                                                              layer16_wv
--------------------------------------------------------------------------------
                   layer16_attention_out     fully_connected       1:1:1024:1024                       layer16_attention
--------------------------------------------------------------------------------
                     layer16_decoder_add            addition       1:1:1024:1024  layer15_decoder_output/generated_out_0
                                                                                                   layer16_attention_out
--------------------------------------------------------------------------------
     layer16_decoder_add/generated_out_0            multiout       1:1:1024:1024                     layer16_decoder_add
--------------------------------------------------------------------------------
                        layer16_ffn_norm            rms_norm       1:1:1024:1024     layer16_decoder_add/generated_out_0
--------------------------------------------------------------------------------
        layer16_ffn_norm/generated_out_0            multiout       1:1:1024:1024                        layer16_ffn_norm
--------------------------------------------------------------------------------
                        layer16_ffn_gate     fully_connected       1:1:1024:3072        layer16_ffn_norm/generated_out_0
--------------------------------------------------------------------------------
                          layer16_ffn_up     fully_connected       1:1:1024:3072        layer16_ffn_norm/generated_out_0
--------------------------------------------------------------------------------
                      layer16_ffn_swiglu              swiglu       1:1:1024:3072                          layer16_ffn_up
                                                                                                        layer16_ffn_gate
--------------------------------------------------------------------------------
                        layer16_ffn_down     fully_connected       1:1:1024:1024                      layer16_ffn_swiglu
--------------------------------------------------------------------------------
                  layer16_decoder_output            addition       1:1:1024:1024     layer16_decoder_add/generated_out_0
                                                                                                        layer16_ffn_down
--------------------------------------------------------------------------------
  layer16_decoder_output/generated_out_0            multiout       1:1:1024:1024                  layer16_decoder_output
--------------------------------------------------------------------------------
                  layer17_attention_norm            rms_norm       1:1:1024:1024  layer16_decoder_output/generated_out_0
--------------------------------------------------------------------------------
  layer17_attention_norm/generated_out_0            multiout       1:1:1024:1024                  layer17_attention_norm
--------------------------------------------------------------------------------
                              layer17_wq     fully_connected       1:1:1024:2048  layer17_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                          layer17_q_norm   reshaped_rms_norm       1:1:1024:2048                              layer17_wq
--------------------------------------------------------------------------------
                              layer17_wk     fully_connected       1:1:1024:1024  layer17_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                          layer17_k_norm   reshaped_rms_norm       1:1:1024:1024                              layer17_wk
--------------------------------------------------------------------------------
                              layer17_wv     fully_connected       1:1:1024:1024  layer17_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                       layer17_attention            mha_core       1:1:1024:2048                          layer17_q_norm
                                                                                                          layer17_k_norm
                                                                                                              layer17_wv
--------------------------------------------------------------------------------
                   layer17_attention_out     fully_connected       1:1:1024:1024                       layer17_attention
--------------------------------------------------------------------------------
                     layer17_decoder_add            addition       1:1:1024:1024  layer16_decoder_output/generated_out_0
                                                                                                   layer17_attention_out
--------------------------------------------------------------------------------
     layer17_decoder_add/generated_out_0            multiout       1:1:1024:1024                     layer17_decoder_add
--------------------------------------------------------------------------------
                        layer17_ffn_norm            rms_norm       1:1:1024:1024     layer17_decoder_add/generated_out_0
--------------------------------------------------------------------------------
        layer17_ffn_norm/generated_out_0            multiout       1:1:1024:1024                        layer17_ffn_norm
--------------------------------------------------------------------------------
                        layer17_ffn_gate     fully_connected       1:1:1024:3072        layer17_ffn_norm/generated_out_0
--------------------------------------------------------------------------------
                          layer17_ffn_up     fully_connected       1:1:1024:3072        layer17_ffn_norm/generated_out_0
--------------------------------------------------------------------------------
                      layer17_ffn_swiglu              swiglu       1:1:1024:3072                          layer17_ffn_up
                                                                                                        layer17_ffn_gate
--------------------------------------------------------------------------------
                        layer17_ffn_down     fully_connected       1:1:1024:1024                      layer17_ffn_swiglu
--------------------------------------------------------------------------------
                  layer17_decoder_output            addition       1:1:1024:1024     layer17_decoder_add/generated_out_0
                                                                                                        layer17_ffn_down
--------------------------------------------------------------------------------
  layer17_decoder_output/generated_out_0            multiout       1:1:1024:1024                  layer17_decoder_output
--------------------------------------------------------------------------------
                  layer18_attention_norm            rms_norm       1:1:1024:1024  layer17_decoder_output/generated_out_0
--------------------------------------------------------------------------------
  layer18_attention_norm/generated_out_0            multiout       1:1:1024:1024                  layer18_attention_norm
--------------------------------------------------------------------------------
                              layer18_wq     fully_connected       1:1:1024:2048  layer18_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                          layer18_q_norm   reshaped_rms_norm       1:1:1024:2048                              layer18_wq
--------------------------------------------------------------------------------
                              layer18_wk     fully_connected       1:1:1024:1024  layer18_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                          layer18_k_norm   reshaped_rms_norm       1:1:1024:1024                              layer18_wk
--------------------------------------------------------------------------------
                              layer18_wv     fully_connected       1:1:1024:1024  layer18_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                       layer18_attention            mha_core       1:1:1024:2048                          layer18_q_norm
                                                                                                          layer18_k_norm
                                                                                                              layer18_wv
--------------------------------------------------------------------------------
                   layer18_attention_out     fully_connected       1:1:1024:1024                       layer18_attention
--------------------------------------------------------------------------------
                     layer18_decoder_add            addition       1:1:1024:1024  layer17_decoder_output/generated_out_0
                                                                                                   layer18_attention_out
--------------------------------------------------------------------------------
     layer18_decoder_add/generated_out_0            multiout       1:1:1024:1024                     layer18_decoder_add
--------------------------------------------------------------------------------
                        layer18_ffn_norm            rms_norm       1:1:1024:1024     layer18_decoder_add/generated_out_0
--------------------------------------------------------------------------------
        layer18_ffn_norm/generated_out_0            multiout       1:1:1024:1024                        layer18_ffn_norm
--------------------------------------------------------------------------------
                        layer18_ffn_gate     fully_connected       1:1:1024:3072        layer18_ffn_norm/generated_out_0
--------------------------------------------------------------------------------
                          layer18_ffn_up     fully_connected       1:1:1024:3072        layer18_ffn_norm/generated_out_0
--------------------------------------------------------------------------------
                      layer18_ffn_swiglu              swiglu       1:1:1024:3072                          layer18_ffn_up
                                                                                                        layer18_ffn_gate
--------------------------------------------------------------------------------
                        layer18_ffn_down     fully_connected       1:1:1024:1024                      layer18_ffn_swiglu
--------------------------------------------------------------------------------
                  layer18_decoder_output            addition       1:1:1024:1024     layer18_decoder_add/generated_out_0
                                                                                                        layer18_ffn_down
--------------------------------------------------------------------------------
  layer18_decoder_output/generated_out_0            multiout       1:1:1024:1024                  layer18_decoder_output
--------------------------------------------------------------------------------
                  layer19_attention_norm            rms_norm       1:1:1024:1024  layer18_decoder_output/generated_out_0
--------------------------------------------------------------------------------
  layer19_attention_norm/generated_out_0            multiout       1:1:1024:1024                  layer19_attention_norm
--------------------------------------------------------------------------------
                              layer19_wq     fully_connected       1:1:1024:2048  layer19_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                          layer19_q_norm   reshaped_rms_norm       1:1:1024:2048                              layer19_wq
--------------------------------------------------------------------------------
                              layer19_wk     fully_connected       1:1:1024:1024  layer19_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                          layer19_k_norm   reshaped_rms_norm       1:1:1024:1024                              layer19_wk
--------------------------------------------------------------------------------
                              layer19_wv     fully_connected       1:1:1024:1024  layer19_attention_norm/generated_out_0
--------------------------------------------------------------------------------
                       layer19_attention            mha_core       1:1:1024:2048                          layer19_q_norm
                                                                                                          layer19_k_norm
                                                                                                              layer19_wv
--------------------------------------------------------------------------------
                   layer19_attention_out     fully_connected       1:1:1024:1024                       layer19_attention
--------------------------------------------------------------------------------
                     layer19_decoder_add            addition       1:1:1024:1024  layer18_decoder_output/generated_out_0
                                                                                                   layer19_attention_out
--------------------------------------------------------------------------------
     layer19_decoder_add/generated_out_0            multiout       1:1:1024:1024                     layer19_decoder_add
--------------------------------------------------------------------------------
                        layer19_ffn_norm            rms_norm       1:1:1024:1024     layer19_decoder_add/generated_out_0
--------------------------------------------------------------------------------
        layer19_ffn_norm/generated_out_0            multiout       1:1:1024:1024                        layer19_ffn_norm
--------------------------------------------------------------------------------
                        layer19_ffn_gate     fully_connected       1:1:1024:3072        layer19_ffn_norm/generated_out_0
--------------------------------------------------------------------------------
                          layer19_ffn_up     fully_connected       1:1:1024:3072        layer19_ffn_norm/generated_out_0
--------------------------------------------------------------------------------
                      layer19_ffn_swiglu              swiglu       1:1:1024:3072                          layer19_ffn_up
                                                                                                        layer19_ffn_gate
--------------------------------------------------------------------------------
                        layer19_ffn_down     fully_connected       1:1:1024:1024                      layer19_ffn_swiglu
--------------------------------------------------------------------------------
                  layer19_decoder_output            addition       1:1:1024:1024     layer19_decoder_add/generated_out_0
                                                                                                        layer19_ffn_down
--------------------------------------------------------------------------------
  layer19_decoder_output/generated_out_0            multiout       1:1:1024:1024                  layer19_decoder_output
